Country Name,Country Code,62-67,67-72,72-77,77-82,82-87,87-92,92-97,97-02,02-07,07-12,12-17
Low income,LIC,232752.0,-1342972.0,-966121.0,-2590473.0,1986273.0,4788378.0,-3842213.0,1795957.0,-1954908.0,-4938749.0,3510162.0
Sri Lanka,LKA,9000.0,-106500.0,-92500.0,-161193.0,261253.0,-118340.0,-205904.0,12204.0,-70585.0,35293.0,-5160.0
Lower middle income,LMC,-1581191.0,-110051.0,724332.0,2319930.0,-2024885.0,-5702044.0,-671441.0,-6841258.0,-3296000.0,2826406.0,3562361.0
Low & middle income,LMY,-277724.0,-2929593.0,-202102.0,628924.0,-1824433.0,-2222247.0,-3239729.0,-4647240.0,-4421120.0,5353744.0,4870827.0
Lesotho,LSO,2600.0,-1649.0,17510.0,-19222.0,-14435.0,32356.0,-29373.0,-124006.0,68742.0,44772.0,-2530.0
Late-demographic dividend,LTE,640035.0,-526965.0,745692.0,370444.0,-402388.0,-2334474.0,2539267.0,647187.0,3319942.0,-879711.0,-1730869.0
Lithuania,LTU,1599.0,11468.0,1033.0,4989.0,-6941.0,-137164.0,6376.0,-5179.0,-51826.0,4713.0,-17685.0
Luxembourg,LUX,-2609.0,9366.0,-3438.0,-9294.0,10279.0,7209.0,-100.0,-5467.0,27806.0,6425.0,0.0
Latvia,LVA,-8871.0,-16112.0,-18341.0,-5565.0,11148.0,-158384.0,69873.0,-25889.0,-14104.0,3269.0,9139.0
"Macao SAR, China",MAC,14540.0,-44574.0,938.0,35180.0,8320.0,-11621.0,6019.0,18420.0,-3903.0,-31.0,-17350.0
Morocco,MAR,-234934.0,-34213.0,199108.0,-10820.0,-109525.0,-36443.0,-65954.0,-122240.0,89681.0,198032.0,110012.0
Moldova,MDA,-26441.0,-18625.0,-82238.0,17229.0,-75346.0,-47422.0,-33356.0,153230.0,-35832.0,40891.0,85.0
Madagascar,MDG,-8000.0,-11000.0,-11000.0,20000.0,0.0,500.0,1000.0,1000.0,0.0,0.0,0.0
Maldives,MDV,-2323.0,5319.0,-2415.0,0.0,-2605.0,-467.0,1972.0,18492.0,602.0,40364.0,-1507.0
Middle East & North Africa,MEA,-418964.0,21611.0,825177.0,2636321.0,-1459432.0,-1783725.0,-576212.0,1862770.0,3835866.0,-4308757.0,-1530752.0
Mexico,MEX,-207000.0,-304295.0,-333437.0,-19381.0,-562339.0,-182996.0,-277937.0,90356.0,1643710.0,139927.0,122477.0
Middle income,MIC,-510476.0,-1586621.0,764019.0,3219397.0,-3810706.0,-7010625.0,602484.0,-6443197.0,-2466212.0,10292493.0,1360665.0
North Macedonia,MKD,11959.0,-32021.0,46253.0,-58003.0,-26066.0,-1289.0,95108.0,-9573.0,7173.0,-1454.0,3854.0
Mali,MLI,-27992.0,2650.0,-79413.0,-43066.0,-275918.0,320493.0,31539.0,74840.0,-33713.0,-201626.0,102449.0
Malta,MLT,-891.0,2919.0,4839.0,7396.0,-1394.0,471.0,4748.0,-767.0,126.0,9768.0,-11004.0
Myanmar,MMR,0.0,0.0,0.0,-54656.0,-145344.0,-513704.0,175706.0,-670094.0,-128836.0,808717.0,-288353.0
